GRF Observations - Ctrl,GRF Observations - Post
68.04615,68.36122
68.36127,65.98178
65.98199,66.692
66.69207,64.55291
64.55318,65.44184
65.44194,63.08551
63.0859,63.96424
63.96439,61.71276
61.71337,62.90849
62.90868,61.11343
61.11444,63.39911
63.39942,62.84612
176.1614,77.37788
77.37805,76.85089
76.8537,79.23087
217.4101,94.54951
95.21227,95.1895
0,106.8561
0,163.5901
2636.453,144.6264
104.878,101.3444
101.3307,111.3356
144.6202,120.395
120.3915,110.5818
110.5811,81.96617
81.96606,85.32597
85.32581,82.5441
153.7561,80.82774
200.5127,72.21155
80.82729,64.72981
64.72985,63.51706
63.5173,62.98484
62.98498,62.69088
62.69098,59.18357
59.18377,62.37742
105.5519,68.70093
68.70097,74.46365
126.4708,70.67065
74.46357,70.25143
70.25134,71.23475
71.23459,79.96997
79.96982,77.82717
77.82713,79.46026
79.46022,76.79958
126.6896,75.5246
76.79934,69.57496
69.57452,69.16008
69.15998,72.85309
72.85297,71.32014
124.2158,68.49448
71.32009,61.07529
108.989,71.68629
71.68609,73.34776
73.34772,77.09625
176.8797,70.97879
77.09615,69.77785
69.77775,66.46792
66.46792,72.35545
179.9285,71.46108
72.35546,72.00834
72.00834,70.30839
70.30827,74.59944
181.6874,75.67648
74.59922,76.07925
76.07915,75.58828
75.58804,77.1154
184.2516,77.73981
77.11501,76.82467
76.82447,76.80564
76.80536,75.5452
75.54503,76.96523
184.1974,73.96702
76.96465,76.08097
76.0806,72.74976
72.74963,75.05515
75.055,71.8701
182.0331,74.64983
71.86984,72.64939
72.64914,77.0236
77.02348,75.09019
75.09014,79.48373
171.3058,77.22272
79.48347,81.42001
151.1285,92.21758
199.0837,116.2832
116.2843,113.1624
241.7199,118.8664
113.1631,116.7759
116.776,121.5999
121.6012,120.3857
235.3412,125.8993
120.3862,124.9422
124.9423,126.9547
262.226,125.8025
328.4538,156.7694
156.7694,153.6826
324.5371,198.5735
2842.403,146.0948
2266.956,110.4555
126.9654,161.3455
161.3689,253.8518
193.0077,222.4762
253.8526,114.2142
114.199,120.3065
176.91,146.1356
146.1365,131.8813
3000.777,57.27287
57.27491,78.71604
1.124121,122.2039
122.2018,118.3449
